Timestep,Traffic_Light_ID,State,Phase_Duration,Traffic_Light_1_2,Traffic_Light_3_4,Zebra_Crossing_Light
182,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
183,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
183,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
184,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
184,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
185,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
185,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
186,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
186,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
187,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
187,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
188,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
188,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
189,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
189,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
190,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
190,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
191,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
191,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
192,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
192,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
193,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
193,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
194,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
194,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
195,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
195,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
196,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
196,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
197,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
197,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
198,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
198,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
199,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
199,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
200,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
200,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
201,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
201,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
202,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
202,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
203,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
203,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
